V   J   P  recLan  recSRH  Jbimo  JSRH_bulk  JSRH_LI  JSRH_RI  Jph  Jn_l  Jp_l  Jn_r  Jp_r  Vext  Jext
0.990000   -2.7028914959984590E+001    1.0000000000000000E+000   4.6260256955647202E+026    0.0000000000000000E+000   3.7059091752958444E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -2.7029027294257869E+001   1.0529216738871073E-011   1.0154829998042199E-011  -2.7028806564634422E+001   9.8999999999999999E-001  -2.7028914959984590E+001
1.020000   -2.5621115522226837E+001    1.0000000000000000E+000   4.8017849933184834E+026    0.0000000000000000E+000   3.8467099483684436E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -2.5621300826086873E+001   1.2018765642631555E-011   1.1573020350038762E-011  -2.5620930869985642E+001   1.0200000000000000E+000  -2.5621115522226837E+001
1.050000   -2.4151560335390698E+001    1.0000000000000000E+000   4.9852022025894569E+026    0.0000000000000000E+000   3.9936454743418864E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -2.4151641514901655E+001   1.3694328538793652E-011   1.3169321536540182E-011  -2.4151482012066882E+001   1.0500000000000000E+000  -2.4151560335390698E+001
1.080000   -2.2617410137634614E+001    1.0000000000000000E+000   5.1767062662104972E+026    0.0000000000000000E+000   4.1470593793187007E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -2.2617455184612449E+001   1.5564126937942455E-011   1.4964982775680473E-011  -2.2617367224796332E+001   1.0800000000000001E+000  -2.2617410137634614E+001
1.110000   -2.1015070326843571E+001    1.0000000000000000E+000   5.3767237164093126E+026    0.0000000000000000E+000   4.3072933582656297E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -2.1015033857899049E+001   1.7669163973728480E-011   1.6977339667759445E-011  -2.1015106926447949E+001   1.1099999999999999E+000  -2.1015070326843571E+001
1.140000   -1.9339699509628709E+001    1.0000000000000000E+000   5.5858566262663985E+026    0.0000000000000000E+000   4.4748297319262356E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -1.9339678950804377E+001   2.0000479467006222E-011   1.9219694838818834E-011  -1.9339718202915041E+001   1.1399999999999999E+000  -1.9339699509628709E+001
1.170000   -1.7588695454711456E+001    1.0000000000000000E+000   5.8044324093455352E+026    0.0000000000000000E+000   4.6499307913057898E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -1.7588669653211330E+001   2.2562147741562077E-011   2.1695521336676839E-011  -1.7588721949485890E+001   1.1699999999999999E+000  -1.7588695454711456E+001
1.200000   -1.5759538848759796E+001    1.0000000000000000E+000   6.0327629903683617E+026    0.0000000000000000E+000   4.8328464192981784E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -1.5759527646993542E+001   2.5372631819985849E-011   2.4408185332984333E-011  -1.5759550933855410E+001   1.2000000000000000E+000  -1.5759538848759796E+001
1.230000   -1.3845588641781841E+001    1.0000000000000000E+000   6.2716782930343802E+026    0.0000000000000000E+000   5.0242414677773681E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -1.3845569130532756E+001   2.8392081594598977E-011   2.7362417900895387E-011  -1.3845608849209185E+001   1.2300000000000000E+000  -1.3845588641781841E+001
1.260000   -1.1847699185624670E+001    1.0000000000000000E+000   6.5210706899471345E+026    0.0000000000000000E+000   5.2240297164362786E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -1.1847688535778110E+001   3.1609176294528188E-011   3.0533894756736964E-011  -1.1847708649889196E+001   1.2600000000000000E+000  -1.1847699185624670E+001
1.290000   -9.7552776512042385E+000    1.0000000000000000E+000   6.7822642781426512E+026    0.0000000000000000E+000   5.4332718994077752E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -9.7552727881783667E+000   3.5048168950377319E-011   3.3953188719558271E-011  -9.7552815970021882E+000   1.2900000000000000E+000  -9.7552776512042385E+000
1.320000   -7.5701006289684676E+000    1.0000000000000000E+000   7.0550363122372394E+026    0.0000000000000000E+000   5.6517895753654443E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -7.5700991149326731E+000   3.8654435948566729E-011   3.7584483892680209E-011  -7.5701011997204395E+000   1.3199999999999998E+000  -7.5701006289684676E+000
1.350000   -5.2860487201887061E+000    1.0000000000000000E+000   7.3401516422513819E+026    0.0000000000000000E+000   5.8801954656591228E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -5.2860484640619809E+000   4.2438400114934760E-011   4.1405270232461087E-011  -5.2860498865438474E+000   1.3499999999999999E+000  -5.2860487201887061E+000
1.380000   -2.8967706869674941E+000    1.0000000000000000E+000   7.6384012808055563E+026    0.0000000000000000E+000   6.1191232504974749E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -2.8967710132199338E+000   4.6368257131186224E-011   4.5427545327067282E-011  -2.8967712679928055E+000   1.3799999999999999E+000  -2.8967706869674941E+000
1.410000   -4.0001253392779773E-001    1.0000000000000000E+000   7.9500668262303819E+026    0.0000000000000000E+000   6.3687985183025873E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001  -4.0001220942916932E-001   5.0419917709753874E-011   4.9618929573238712E-011  -4.0001222341060738E-001   1.4099999999999999E+000  -4.0001253392779773E-001
1.440000    2.2092638479253681E+000    1.0000000000000000E+000   8.2757782562954026E+026    0.0000000000000000E+000   6.6297259442643622E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001   2.2092645206228609E+000   5.4575257078140595E-011   5.3965278156023476E-011   2.2092645413361027E+000   1.4399999999999999E+000   2.2092638479253681E+000
1.470000    4.9367742324561128E+000    1.0000000000000000E+000   8.6162488905273091E+026    0.0000000000000000E+000   6.9024769686541546E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001   4.9367750177045808E+000   5.8819529521130355E-011   5.8455302858910110E-011   4.9367750948614058E+000   1.4700000000000000E+000   4.9367742324561128E+000
1.500000    7.7823082447002641E+000    1.0000000000000000E+000   8.9714532641575189E+026    0.0000000000000000E+000   7.1870311916459315E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -6.4087999999999866E+001   7.7823074785640101E+000   6.3123190706126353E-011   6.3063011250664573E-011   7.7823074775283478E+000   1.5000000000000000E+000   7.7823082447002641E+000
