V   J   P  recLan  recSRH  Jbimo  JSRH_bulk  JSRH_LI  JSRH_RI  Jph  Jn_l  Jp_l  Jn_r  Jp_r  Vext  Jext
1.080000   -9.2918862938290694E+000    1.0000000000000000E+000   7.1981559477854308E+026    0.0000000000000000E+000   5.7664427151116314E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -2.1613438533071143E+001   1.2321540876191859E+001   3.8976558230216035E-002  -9.3308520760763827E+000   1.0800000000000001E+000  -9.2918862938290694E+000
1.110000   -4.5224845254531427E+000    1.0000000000000000E+000   7.5297310889431650E+026    0.0000000000000000E+000   6.0320675600178255E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -1.8954896701773723E+001   1.4432406112884790E+001   4.1265019024962234E-002  -4.5637436444716215E+000   1.1099999999999999E+000  -4.5224845254531427E+000
1.140000    3.8804508984211833E-001    1.0000000000000000E+000   7.8458422262090488E+026    0.0000000000000000E+000   6.2853041914377627E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -1.6420037767896620E+001   1.6808082444969497E+001   4.3752238290912217E-002   3.4429326471564947E-001   1.1399999999999999E+000   3.8804508984211833E-001
1.170000    5.3943704944897224E+000    1.0000000000000000E+000   8.1418613172597561E+026    0.0000000000000000E+000   6.5224450846756270E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -1.4045970324410368E+001   1.9440334983110787E+001   4.6416095652478381E-002   5.3479604065092250E+000   1.1699999999999999E+000   5.3943704944897224E+000
1.200000    1.0445664575748459E+001    1.0000000000000000E+000   8.4134136596912770E+026    0.0000000000000000E+000   6.7399856656444896E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -1.1867757221940924E+001   2.2313413031740488E+001   4.9226325295591448E-002   1.0396447599745420E+001   1.2000000000000000E+000   1.0445664575748459E+001
1.230000    1.5482127086800551E+001    1.0000000000000000E+000   8.6564261515033995E+026    0.0000000000000000E+000   6.9346629723402827E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -9.9180699243162955E+000   2.5400185631249311E+001   5.2143043499424696E-002   1.5429996763032266E+001   1.2300000000000000E+000   1.5482127086800551E+001
1.260000    2.0463214693355194E+001    1.0000000000000000E+000   8.8686994922378902E+026    0.0000000000000000E+000   7.1047151451703797E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -8.2145610750531919E+000   2.8677763097579476E+001   5.5131744949443798E-002   2.0408097765036285E+001   1.2600000000000000E+000   2.0463214693355194E+001
1.290000    2.5334719830115532E+001    1.0000000000000000E+000   9.0485688189764155E+026    0.0000000000000000E+000   7.2488084624543006E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -6.7706143261306764E+000   3.2105319390749720E+001   5.8147845131938880E-002   2.5276590235704678E+001   1.2900000000000000E+000   2.5334719830115532E+001
1.320000    3.0059174725316502E+001    1.0000000000000000E+000   9.1965216608795200E+026    0.0000000000000000E+000   7.3673334838015705E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -5.5823612747468534E+000   3.5641518529156286E+001   6.1154117545712115E-002   2.9998043710537598E+001   1.3199999999999998E+000   3.0059174725316502E+001
1.350000    3.4613377205709568E+001    1.0000000000000000E+000   9.3149212661027044E+026    0.0000000000000000E+000   7.4621834073047324E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -4.6308939739014168E+000   3.9244255159736277E+001   6.4121399069125562E-002   3.4549278784144661E+001   1.3499999999999999E+000   3.4613377205709568E+001
1.380000    3.8989657579928888E+001    1.0000000000000000E+000   9.4076279708239814E+026    0.0000000000000000E+000   7.5364507482681532E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -3.8853142290605098E+000   4.2874953977953112E+001   6.7030904562877247E-002   3.8922654845549239E+001   1.3799999999999999E+000   3.8989657579928888E+001
1.410000    4.3188732760708248E+001    1.0000000000000000E+000   9.4783182699134757E+026    0.0000000000000000E+000   7.5930807467247817E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -3.3161725488916067E+000   4.6504890456477391E+001   6.9870367428124927E-002   4.3118888726641771E+001   1.4099999999999999E+000   4.3188732760708248E+001
1.440000    4.7227786626159705E+001    1.0000000000000000E+000   9.5321470308592478E+026    0.0000000000000000E+000   7.6362029670088148E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -2.8821814832530772E+000   5.0109953603584799E+001   7.2640428900057410E-002   4.7155175551734253E+001   1.4399999999999999E+000   4.7227786626159705E+001
1.470000    5.1132755301894171E+001    1.0000000000000000E+000   9.5744991029940405E+026    0.0000000000000000E+000   7.6701312119097480E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -2.5401897939088744E+000   5.3672931841377050E+001   7.5349938207911471E-002   5.1057436600859411E+001   1.4700000000000000E+000   5.1132755301894171E+001
1.500000    5.4919923573899325E+001    1.0000000000000000E+000   9.6078619746734164E+026    0.0000000000000000E+000   7.6968582083441518E+001   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000  -7.9316831683168218E+001  -2.2702719576475263E+000   5.7190181237617665E+001   7.8002366825593347E-002   5.4841961399159537E+001   1.5000000000000000E+000   5.4919923573899325E+001
